nohup: ignoring input
epoch 0 loss: 53732548.0
epoch 0 loss: 53732212.0
epoch 0 loss: 53730056.0
epoch 0 loss: 53718824.0
epoch 0 loss: 53595108.0
epoch 0 loss: 52969264.0
epoch 0 loss: 52962952.0
epoch 0 loss: 49287320.0
epoch 0 loss: 49248768.0
epoch 0 loss: 48134176.0
epoch 0 loss: 48122884.0
epoch 0 loss: 15457976.0
epoch 0 loss: 6914462.5
L2: tensor(940694.3125, device='cuda:3', grad_fn=<MseLossBackward0>) L1 tensor(665.7736, device='cuda:3', grad_fn=<MeanBackward0>) ssim: 0.37476471104542725
epoch 1 loss: 6914462.5
epoch 1 loss: 12672787.0
epoch 1 loss: 3966174.5
epoch 1 loss: 3602567.0
epoch 1 loss: 3011405.75
epoch 2 loss: 3011405.75
epoch 2 loss: 2808730.25
epoch 2 loss: 2157590.5
epoch 2 loss: 1524582.375
epoch 2 loss: 1216744.0
epoch 3 loss: 1216744.0
epoch 3 loss: 1036179.6875
epoch 3 loss: 969404.3125
epoch 3 loss: 935887.6875
epoch 3 loss: 846375.5625
epoch 4 loss: 846375.5625
epoch 4 loss: 785846.5
epoch 4 loss: 704925.5625
epoch 4 loss: 666014.8125
epoch 4 loss: 602074.5
epoch 5 loss: 602074.5
epoch 5 loss: 571855.1875
epoch 5 loss: 542179.125
epoch 5 loss: 520400.8125
epoch 5 loss: 495065.6875
epoch 6 loss: 495065.6875
epoch 6 loss: 474876.9375
epoch 6 loss: 450957.84375
epoch 6 loss: 423047.09375
epoch 6 loss: 391576.0
epoch 7 loss: 391576.0
epoch 7 loss: 381317.71875
epoch 7 loss: 342606.375
epoch 7 loss: 334470.5625
epoch 7 loss: 315444.28125
epoch 8 loss: 315444.28125
epoch 8 loss: 301520.5625
epoch 8 loss: 291421.15625
epoch 8 loss: 274858.46875
epoch 8 loss: 264468.28125
epoch 9 loss: 264468.28125
epoch 9 loss: 249912.578125
epoch 9 loss: 238812.328125
epoch 9 loss: 232092.28125
epoch 9 loss: 220721.0625
epoch 10 loss: 220721.0625
epoch 10 loss: 211293.453125
epoch 10 loss: 210534.109375
epoch 10 loss: 202347.609375
epoch 10 loss: 199677.15625
L2: tensor(901885.1250, device='cuda:3', grad_fn=<MseLossBackward0>) L1 tensor(621.6037, device='cuda:3', grad_fn=<MeanBackward0>) ssim: 0.39892568220671365
epoch 11 loss: 199677.15625
epoch 11 loss: 195375.109375
epoch 11 loss: 189446.921875
epoch 11 loss: 176190.578125
epoch 11 loss: 183083.53125
epoch 11 loss: 170384.03125
epoch 12 loss: 170384.03125
epoch 12 loss: 162318.9375
epoch 12 loss: 158129.75
epoch 12 loss: 153126.90625
epoch 12 loss: 147131.109375
epoch 13 loss: 147131.109375
epoch 13 loss: 148997.46875
epoch 13 loss: 142788.09375
epoch 13 loss: 137602.515625
epoch 13 loss: 134334.59375
epoch 14 loss: 134334.59375
epoch 14 loss: 131141.328125
epoch 14 loss: 128927.625
epoch 14 loss: 125295.71875
epoch 14 loss: 120767.0
epoch 15 loss: 120767.0
epoch 15 loss: 113040.7890625
epoch 15 loss: 110339.1953125
epoch 15 loss: 105212.28125
epoch 15 loss: 103589.0234375
epoch 16 loss: 103589.0234375
epoch 16 loss: 100859.421875
epoch 16 loss: 99172.8671875
epoch 16 loss: 96531.9765625
epoch 16 loss: 95314.6640625
epoch 17 loss: 95314.6640625
epoch 17 loss: 94113.6953125
epoch 17 loss: 91567.828125
epoch 17 loss: 88824.4140625
epoch 17 loss: 85849.2265625
epoch 18 loss: 85849.2265625
epoch 18 loss: 83859.6484375
epoch 18 loss: 82170.1796875
epoch 18 loss: 78877.125
epoch 18 loss: 78066.1953125
epoch 19 loss: 78066.1953125
epoch 19 loss: 75259.1171875
epoch 19 loss: 74137.9609375
epoch 19 loss: 72719.0
epoch 19 loss: 71840.6328125
epoch 20 loss: 71840.6328125
epoch 20 loss: 70350.3359375
epoch 20 loss: 69139.109375
epoch 20 loss: 68118.28125
epoch 20 loss: 66542.140625
L2: tensor(879313.5000, device='cuda:3', grad_fn=<MseLossBackward0>) L1 tensor(593.2620, device='cuda:3', grad_fn=<MeanBackward0>) ssim: 0.4816926735105244
epoch 21 loss: 66542.140625
epoch 21 loss: 69109.3984375
epoch 21 loss: 65589.828125
epoch 21 loss: 64721.62109375
epoch 21 loss: 64007.47265625
epoch 22 loss: 64007.47265625
epoch 22 loss: 63119.20703125
epoch 22 loss: 61651.28515625
epoch 22 loss: 60734.40625
epoch 22 loss: 59490.50390625
epoch 23 loss: 59490.50390625
epoch 23 loss: 58983.17578125
epoch 23 loss: 58409.5703125
epoch 23 loss: 57942.51953125
epoch 23 loss: 56872.66796875
epoch 24 loss: 56872.66796875
epoch 24 loss: 56086.80078125
epoch 24 loss: 55536.49609375
epoch 24 loss: 54841.1171875
epoch 24 loss: 53817.54296875
epoch 25 loss: 53817.54296875
epoch 25 loss: 53351.0234375
epoch 25 loss: 52810.69921875
epoch 25 loss: 51789.7578125
epoch 25 loss: 52568.625
epoch 25 loss: 51267.765625
epoch 26 loss: 51267.765625
epoch 26 loss: 50480.91796875
epoch 26 loss: 49897.4296875
epoch 26 loss: 49261.55859375
epoch 26 loss: 49047.44921875
epoch 27 loss: 49047.44921875
epoch 27 loss: 48524.61328125
epoch 27 loss: 48253.76171875
epoch 27 loss: 48048.671875
epoch 27 loss: 47617.609375
epoch 28 loss: 47617.609375
epoch 28 loss: 46816.26953125
epoch 28 loss: 46273.21875
epoch 28 loss: 45768.375
epoch 28 loss: 45162.01953125
epoch 29 loss: 45162.01953125
epoch 29 loss: 44488.37109375
epoch 29 loss: 43944.84765625
epoch 29 loss: 43476.63671875
epoch 29 loss: 43531.94140625
epoch 29 loss: 43221.78125
epoch 30 loss: 43221.78125
epoch 30 loss: 42819.2890625
epoch 30 loss: 42525.3515625
epoch 30 loss: 42253.015625
epoch 30 loss: 41866.3125
L2: tensor(864749.7500, device='cuda:3', grad_fn=<MseLossBackward0>) L1 tensor(570.5985, device='cuda:3', grad_fn=<MeanBackward0>) ssim: 0.5326719069628553
epoch 31 loss: 41866.3125
epoch 31 loss: 41477.4921875
epoch 31 loss: 40860.3671875
epoch 31 loss: 40583.55859375
epoch 31 loss: 40206.33203125
epoch 32 loss: 40206.33203125
epoch 32 loss: 39782.25
epoch 32 loss: 39396.0
epoch 32 loss: 39020.26953125
epoch 32 loss: 38730.60546875
epoch 33 loss: 38730.60546875
