nohup: ignoring input
epoch 0 loss: 42790352.0
epoch 0 loss: 42790132.0
epoch 0 loss: 42789648.0
epoch 0 loss: 42786468.0
epoch 0 loss: 42751520.0
epoch 0 loss: 42401420.0
epoch 0 loss: 38834804.0
epoch 0 loss: 5977515.0
L2: tensor(521021.7188, device='cuda:3', grad_fn=<MseLossBackward0>) L1 tensor(592.3809, device='cuda:3', grad_fn=<MeanBackward0>) ssim: 0.16447744561707622
epoch 1 loss: 5977515.0
epoch 1 loss: 44985372.0
epoch 1 loss: 4189218.5
epoch 1 loss: 3399257.5
epoch 1 loss: 3034570.75
epoch 2 loss: 3034570.75
epoch 2 loss: 2725863.25
epoch 2 loss: 2467134.0
epoch 2 loss: 2092099.75
epoch 2 loss: 1961503.875
epoch 3 loss: 1961503.875
epoch 3 loss: 1763403.125
epoch 3 loss: 1660820.625
epoch 3 loss: 1431422.375
epoch 3 loss: 1203544.625
epoch 4 loss: 1203544.625
epoch 4 loss: 863997.1875
epoch 4 loss: 866095.1875
epoch 4 loss: 710560.5
epoch 4 loss: 574614.6875
epoch 5 loss: 574614.6875
epoch 5 loss: 533363.5625
epoch 5 loss: 509408.375
epoch 5 loss: 476881.28125
epoch 5 loss: 401036.46875
epoch 6 loss: 401036.46875
epoch 6 loss: 456101.8125
epoch 6 loss: 369324.3125
epoch 6 loss: 325059.0
epoch 6 loss: 303201.96875
epoch 7 loss: 303201.96875
epoch 7 loss: 293478.09375
epoch 7 loss: 285654.3125
epoch 7 loss: 253686.734375
epoch 7 loss: 235084.96875
epoch 8 loss: 235084.96875
epoch 8 loss: 213500.28125
epoch 8 loss: 188952.34375
epoch 8 loss: 176548.609375
epoch 8 loss: 167630.984375
epoch 9 loss: 167630.984375
epoch 9 loss: 160669.40625
epoch 9 loss: 154753.484375
epoch 9 loss: 146128.734375
epoch 9 loss: 143405.5625
epoch 10 loss: 143405.5625
epoch 10 loss: 132983.71875
epoch 10 loss: 127228.703125
epoch 10 loss: 119977.1875
epoch 10 loss: 120061.5234375
epoch 10 loss: 117402.4609375
L2: tensor(462028.6250, device='cuda:3', grad_fn=<MseLossBackward0>) L1 tensor(532.1588, device='cuda:3', grad_fn=<MeanBackward0>) ssim: 0.3240571301722298
epoch 11 loss: 117402.4609375
epoch 11 loss: 114006.2890625
epoch 11 loss: 111113.375
epoch 11 loss: 107514.265625
epoch 11 loss: 106816.03125
epoch 12 loss: 106816.03125
epoch 12 loss: 102390.5546875
epoch 12 loss: 99918.40625
epoch 12 loss: 95973.9296875
epoch 12 loss: 90174.59375
epoch 13 loss: 90174.59375
epoch 13 loss: 106769.15625
epoch 13 loss: 88573.46875
epoch 13 loss: 84771.6171875
epoch 13 loss: 83077.34375
epoch 14 loss: 83077.34375
epoch 14 loss: 82151.6640625
epoch 14 loss: 81187.140625
epoch 14 loss: 78861.1875
epoch 14 loss: 76467.0
epoch 15 loss: 76467.0
epoch 15 loss: 72576.015625
epoch 15 loss: 80646.234375
epoch 15 loss: 71429.703125
epoch 15 loss: 69257.03125
epoch 16 loss: 69257.03125
epoch 16 loss: 68047.359375
epoch 16 loss: 66964.5
epoch 16 loss: 65734.5703125
epoch 16 loss: 63665.13671875
epoch 17 loss: 63665.13671875
epoch 17 loss: 61724.48828125
epoch 17 loss: 60120.515625
epoch 17 loss: 58327.5078125
epoch 17 loss: 56649.77734375
epoch 18 loss: 56649.77734375
epoch 18 loss: 55604.71484375
